year,state_abbr,state_name,population,violent_crime,property_crime,Violent_Crime_rate,Property_Crime_rate
1981,MS,Mississippi,2530000,7706,81789,304.5849802,3232.766798
1981,MT,Montana,792000,2004,37746,253.030303,4765.909091
1981,NC,North Carolina,5951000,25986,243012,436.6661065,4083.548983
1981,ND,North Dakota,658000,444,19237,67.47720365,2923.556231
1981,NE,Nebraska,1576000,2861,62977,181.535533,3996.002538
1981,NH,New Hampshire,935000,1375,39034,147.0588235,4174.759358
1981,NJ,New Jersey,7401000,46674,410693,630.6445075,5549.15552
1981,NM,New Mexico,1327000,8913,73369,671.6654107,5528.937453
1981,NV,Nevada,845000,7575,65027,896.4497041,7695.502959
1981,NY,New York,17594000,188178,1026757,1069.557804,5835.83608
1981,OH,Ohio,10776000,53509,533498,496.5571641,4950.79807
1981,OK,Oklahoma,3098000,13223,136637,426.8237573,4410.490639
1981,OR,Oregon,2647000,12671,173596,478.6928598,6558.216849
1981,PA,Pennsylvania,11864000,44104,392872,371.7464599,3311.46325
1981,RI,Rhode Island,952000,4205,51504,441.7016807,5410.084034
1981,SC,South Carolina,3166000,20275,148127,640.3979785,4678.679722
1981,SD,South Dakota,685000,718,19922,104.8175182,2908.321168
1981,TN,Tennessee,4610000,19019,179737,412.5596529,3898.850325
1981,TX,Texas,14755000,78560,814163,532.4296849,5517.878685
1981,UT,Utah,1516000,4527,82643,298.6147757,5451.385224
1981,VA,Virginia,5426000,17456,235984,321.7102838,4349.1338
1981,VT,Vermont,515000,659,25404,127.961165,4932.815534
1981,WA,Washington,4212000,18839,265135,447.2697056,6294.753086
1981,WI,Wisconsin,4739000,8904,216997,187.88774,4578.961806
1981,WV,West Virginia,1951000,3410,47681,174.782163,2443.926192
1981,WY,Wyoming,492000,2116,23133,430.0813008,4701.829268
1982,US,United States,231664458,1322390,11652000,570.8212694,5029.68824
1982,AK,Alaska,438000,2732,24479,623.7442922,5588.812785
1982,AL,Alabama,3943000,17653,165048,447.7047933,4185.848339
1982,AR,Arkansas,2291000,7438,81259,324.6617198,3546.879092
1982,AZ,Arizona,2860000,14785,189161,516.958042,6614.020979
1982,CA,California,24724000,201429,1599827,814.7104028,6470.745025
1982,CO,Colorado,3045000,15354,200230,504.2364532,6575.697865
1982,CT,Connecticut,3153000,12597,158532,399.5242626,5027.973359
1982,DC,District of Columbia,631000,13397,52295,2123.137876,8287.638669
1982,DE,Delaware,602000,3370,35067,559.8006645,5825.083056
1982,FL,Florida,10416000,93411,684166,896.8029954,6568.413978
1982,GA,Georgia,5639000,26963,267097,478.1521546,4736.602234
1982,HI,Hawaii,994000,2542,62906,255.7344064,6328.571429
1982,IA,Iowa,2905000,5018,115148,172.7366609,3963.786575
1982,ID,Idaho,965000,2501,36902,259.1709845,3824.041451
1982,IL,Illinois,11448000,88644,579954,774.3186583,5065.985325
1982,IN,Indiana,5471000,16444,225894,300.566624,4128.934381
1982,KS,Kansas,2408000,8088,111156,335.8803987,4616.112957
1982,KY,Kentucky,3667000,11550,119304,314.9713662,3253.449686
1982,LA,Louisiana,4362000,29185,202489,669.0738193,4642.113709
1982,MA,Massachusetts,5781000,33031,285140,571.371735,4932.364643
1982,MD,Maryland,4265000,36254,220174,850.03517,5162.344666
1982,ME,Maine,1133000,1847,41884,163.0185349,3696.734334
1982,MI,Michigan,9109000,59806,558195,656.5594467,6127.950379
1982,MN,Minnesota,4133000,9062,175048,219.2596177,4235.37382
1982,MO,Missouri,4951000,25078,219888,506.5239346,4441.284589
1982,MS,Mississippi,2551000,7515,83622,294.5903567,3278.008624
1982,MT,Montana,801000,1801,32908,224.8439451,4108.364544
1982,NC,North Carolina,6019000,26865,246593,446.3366008,4096.909786
1982,ND,North Dakota,670000,414,17328,61.79104478,2586.268657
1982,NE,Nebraska,1586000,3641,59019,229.5712484,3721.248424
1982,NH,New Hampshire,951000,1187,35229,124.8159832,3704.416404
1982,NJ,New Jersey,7438000,45175,377016,607.3541275,5068.781931
1982,NM,New Mexico,1359000,9982,79816,734.5106696,5873.142016
1982,NV,Nevada,881000,7096,62512,805.4483541,7095.573212
1982,NY,New York,17659000,174833,967369,990.0503992,5478.050852
1982,OH,Ohio,10791000,47126,485468,436.7157817,4498.823093
1982,OK,Oklahoma,3177000,14103,151814,443.9093484,4778.533207
1982,OR,Oregon,2649000,12529,161444,472.9709324,6094.526236
1982,PA,Pennsylvania,11865000,42767,366903,360.446692,3092.313527
1982,RI,Rhode Island,958000,3849,47539,401.7745303,4962.317328
1982,SC,South Carolina,3203000,23061,148657,719.9812676,4641.180144
1982,SD,South Dakota,691000,684,17592,98.9869754,2545.875543
1982,TN,Tennessee,4651000,19586,185692,421.113739,3992.517738
1982,TX,Texas,15280000,88178,874799,577.0811518,5725.124346
1982,UT,Utah,1554000,4440,78451,285.7142857,5048.326898
1982,VA,Virginia,5491000,16970,216713,309.0511746,3946.694591
1982,VT,Vermont,516000,655,23555,126.9379845,4564.922481
1982,WA,Washington,4245000,17251,249429,406.3839812,5875.830389
1982,WI,Wisconsin,4765000,9077,202447,190.4931794,4248.625393
1982,WV,West Virginia,1948000,3405,45514,174.7946612,2336.447639
1982,WY,Wyoming,502000,1527,22589,304.1832669,4499.800797
1983,US,United States,233791994,1258087,10850543,538.1223619,4641.109738
1983,AK,Alaska,479000,2940,25889,613.7787056,5404.80167
1983,AL,Alabama,3959000,16471,145890,416.0394039,3685.02147
1983,AR,Arkansas,2328000,6930,74563,297.6804124,3202.878007
1983,AZ,Arizona,2963000,14642,174740,494.161323,5897.401282
1983,CA,California,25174000,194491,1486487,772.5867959,5904.850242
1983,CO,Colorado,3139000,14955,193070,476.4256133,6150.684932
1983,CT,Connecticut,3138000,11767,144437,374.9840663,4602.836201
1983,DC,District of Columbia,623000,11933,45843,1915.40931,7358.426966
1983,DE,Delaware,606000,2746,30378,453.1353135,5012.871287
1983,FL,Florida,10680000,88292,635934,826.7041199,5954.438202
1983,GA,Georgia,5732000,26179,232062,456.7166783,4048.534543
1983,HI,Hawaii,1023000,2579,56853,252.1016618,5557.478006
